languages,number
none,0
english,1
mandarin,2
french,3
japanese,4
spanish,5
german,6
korean,7
hindi,8
italian,9
cantonese,10
russian,11
swedish,12
arabic,13
latin,14
portuguese,15
hebrew,16
turkish,17
polish,18
aramaic,19
tibetan,20
sign languages,21
american sign language,22
apache languages,23
thai,24
somali,25
klingon,26
tamil,27
telugu,28
scottish gaelic,29
nepali,30
dutch,31
algonquin,32
afrikaans,33
sinhalese,34
vietnamese,35
malayalam,36
urdu,37
albanian,38
hawaiian,39
serbian,40
welsh,41
bulgarian,42
danish,43
nyanja,44
silent,45
hungarian,46
bengali,47
mongolian,48
ukrainian,49
czech,50
greek,51
romanian,52
punjabi,53
norwegian,54
burmese,55
filipino,56
shanghainese,57
tagalog,58
esperanto,59
estonian,60
teochew,61
indonesian,62
persian,63
finnish,64
sicilian,65
catalan,66
swiss german,67
bosnian,68
amharic,69
xhosa,70
mende,71
yiddish,72
flemish,73
slovak,74
uzbek,75
khmer,76
zulu,77
swahili,78
lithuanian,79
basque,80
croatian,81
guarani,82
hokkien,83
kannada,84
icelandic,85
maori,86
cree,87
assamese,88
marathi,89
armenian,90
kazakh,91
haitian,92
kurdish,93
gujarati,94
chechen,95
romany,96
dinka,97
georgian,98
kirundi,99
akan,100
pushto,101
quechua,102
tupi,103
lingala,104
slovenian,105
inuktitut,106
tok pisin,107
aymara,108
kabyle,109
bhojpuri,110
maya,111
wolof,112
bambara,113
macedonian,114
ladakhi,115
yakut,116
samoan,117
tajik,118
kinyarwanda,119
hausa,120
azerbaijani,121
haryanvi,122
latvian,123
bemba,124
dzongkha,125
navajo,126
kirghiz,127
yoruba,128
shona,129
sotho,130
lao,131
sanskrit,132
krio,133
haida,134
spanish sign language,135
indian sign language,136
