currency,value
AUD,0.770336788
BRL,0.171006283
CAD,0.793462308
CHF,1.074338361
CNY,0.153514546
CZK,0.045244979
DKK,0.159938682
EEK,0.085398745
EUR,1.1894
GBP,1.387799869
HKD,0.128827512
HRK,0.156679357
HUF,0.003242374
IDR,6.94E-05
ILS,0.300338367
INR,0.013698504
ISK,0.007837891
JPY,0.009184556
KRW,0.000878493
LTL,0.351627665
LVL,1.962282514
MTL,3.42907058
MXN,0.046894159
MYR,0.24286356
NOK,0.117951566
NZD,0.71620401
PHP,0.020604948
PLN,0.259450734
ROL,3.36E-05
RON,0.243380397
SEK,0.11734412
SGD,0.742864281
SIT,0.005495744
SKK,0.046195977
THB,0.032499932
TRL,7.42E-07
ZAR,0.064949107
AED,0.27
ALL,0.0097
AMD,0.0019
ARS,0.011
ATS,0.08632
AZM,0.59
BDT,0.012
BEF,0.03
BGL,0.61
BND,0.75
CLP,0.0014
COP,0.00028
DEM,0.61
DOP,0.018
EGP,0.064
ESP,0.01
FIM,0.2
FRF,0.18
GEL,0.3
IEP,1.51
IRR,0.000024
ITL,0.000613662
JMD,0.0069
JOD,1.41
LKR,0.0051
MNT,0.00035
NGN,0.0024
NLG,1.85
NPR,0.0086
PKR,0.0064
PTE,0.01
PYG,0.00015
RUR,0.013
TTD,0.15
TWD,0.035
UAH,0.036
VEB,0.000466
VND,0.000043
YUM,0.61
